adj_type,msg_config,num_nodes_keep,total_samples,mean_one_minus_r2,std_one_minus_r2,n_runs
runs3thr0p6,rate_x,5,10,1.0613263487815856,0.08204840241033239,5
runs3thr0p6,rate_x,5,50,0.6249871730804444,0.23223910457723654,5
runs3thr0p6,rate_x,5,90,0.516610610485077,0.1510414308493098,5
runs3thr0p6,rate_x,5,130,0.36198035478591917,0.0701228980889811,5
runs3thr0p6,rate_x,5,170,0.33256741166114806,0.05175591587228667,5
runs3thr0p6,rate_x,5,210,0.30554778277873995,0.03936677780058825,5
runs3thr0p6,rate_x,5,250,0.32136076092720034,0.058887793560747394,5
runs3thr0p6,rate_x,5,290,0.3150880455970764,0.04551652442850491,5
runs3thr0p6,rate_x,5,330,0.2700372189283371,0.029138477959961585,5
runs3thr0p6,rate_x,5,370,0.26236150562763216,0.023828683449757262,5
runs3thr0p6,rate_x,5,410,0.2804590821266174,0.03992590955316071,5
runs3thr0p6,rate_x,5,450,0.26135734021663665,0.023515345103671422,5
runs3thr0p6,rate_x,5,490,0.2531634658575058,0.02473663845986809,5
runs3thr0p6,rate_x,5,530,0.2668661862611771,0.03951998285016291,5
runs3thr0p6,rate_x,5,570,0.24992475509643555,0.02285264974086293,5
runs3thr0p6,rate_x,5,610,0.22833130657672882,0.027736762528098834,5
runs3thr0p6,rate_x,5,650,0.22861761450767518,0.03185130085956973,5
runs3thr0p6,rate_x,5,690,0.24803859293460845,0.03963935774801176,5
runs3thr0p6,rate_x,5,730,0.27796477675437925,0.03969846045888314,5
runs3thr0p6,rate_x,5,770,0.22862465679645538,0.020082731507711137,5
runs3thr0p6,rate_x,10,20,0.8457739949226379,0.18492785105099155,5
runs3thr0p6,rate_x,10,60,0.6554222941398621,0.14470708055420203,5
runs3thr0p6,rate_x,10,100,0.44942728877067567,0.07266667493987795,5
runs3thr0p6,rate_x,10,140,0.359401798248291,0.0439786856439578,5
runs3thr0p6,rate_x,10,180,0.3367980718612671,0.03544874978814672,5
runs3thr0p6,rate_x,10,220,0.3507553279399872,0.04194550323042201,5
runs3thr0p6,rate_x,10,260,0.29680723547935484,0.04444879662390702,5
runs3thr0p6,rate_x,10,300,0.2830860674381256,0.04035057639434475,5
runs3thr0p6,rate_x,10,340,0.28512807488441466,0.020475260611389528,5
runs3thr0p6,rate_x,10,380,0.2881564974784851,0.024843449777831237,5
runs3thr0p6,rate_x,10,420,0.2663395881652832,0.018870055478815897,5
runs3thr0p6,rate_x,10,460,0.2728762447834015,0.03620034689401708,5
runs3thr0p6,rate_x,10,500,0.29696436524391173,0.015259045974060043,5
runs3thr0p6,rate_x,10,540,0.2604464203119278,0.03554781564164657,5
runs3thr0p6,rate_x,10,580,0.28038822412490844,0.012841536395553781,5
runs3thr0p6,rate_x,10,620,0.2762362539768219,0.012252519733386178,5
runs3thr0p6,rate_x,10,660,0.2712713718414307,0.020253665461863114,5
runs3thr0p6,rate_x,10,700,0.27215651571750643,0.01976983133347487,5
runs3thr0p6,rate_x,10,740,0.2508097678422928,0.017796671736741022,5
runs3thr0p6,rate_x,10,780,0.2634807527065277,0.018167813286536286,5
runs3thr0p6,rate_x,15,30,0.878116226196289,0.1828123800750364,5
runs3thr0p6,rate_x,15,75,0.7051445782184601,0.24953596025835553,5
runs3thr0p6,rate_x,15,120,0.34552672505378723,0.0403569737573051,5
runs3thr0p6,rate_x,15,165,0.3065777659416199,0.02223500643241731,5
runs3thr0p6,rate_x,15,210,0.2906841218471527,0.010320463738593405,5
runs3thr0p6,rate_x,15,255,0.38526045680046084,0.043492950101152006,5
runs3thr0p6,rate_x,15,300,0.29170461297035216,0.033805797775301134,5
runs3thr0p6,rate_x,15,345,0.2736741304397583,0.02202087093997671,5
runs3thr0p6,rate_x,15,390,0.2695297300815582,0.010592262068519894,5
runs3thr0p6,rate_x,15,435,0.2843542218208313,0.01901727328531501,5
runs3thr0p6,rate_x,15,480,0.27644153535366056,0.03388939026929349,5
runs3thr0p6,rate_x,15,525,0.26362801194190977,0.019961886765686325,5
runs3thr0p6,rate_x,15,570,0.26002858579158783,0.026264237568646664,5
