Date,BACS,BARANYA,BEKES,BORSOD,BUDAPEST,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
2005-09-19,6,3,5,19,12,3,0,1,5,1,5,4,4,18,3,6,6,4,4,3
2005-09-26,3,2,1,28,5,1,4,2,3,3,9,7,0,15,6,6,5,4,5,16
2005-10-03,6,4,10,34,17,1,10,1,21,7,8,21,4,27,6,3,1,17,20,13
2005-10-10,5,3,7,60,11,0,16,5,5,7,12,9,8,51,5,12,3,16,25,17
2005-10-17,15,8,7,46,27,8,25,6,32,27,30,22,15,79,1,14,5,35,14,8
2005-10-24,26,9,19,60,23,18,25,8,36,11,20,43,15,77,17,6,10,42,50,16
2005-10-31,33,15,4,12,30,12,30,18,20,21,15,48,13,70,9,7,7,70,13,18
2005-11-07,35,12,11,100,48,19,13,20,25,23,23,51,26,67,17,33,25,41,35,40
2005-11-14,58,21,5,51,37,9,18,19,14,20,37,52,10,48,10,24,16,35,14,34
2005-11-21,36,9,14,45,32,24,15,27,12,21,25,17,21,31,5,19,22,48,22,44
2005-11-28,65,13,13,81,49,16,28,27,27,33,37,49,39,81,20,24,10,54,42,65
2005-12-05,40,28,4,40,67,28,22,34,27,15,45,50,17,44,38,28,32,70,72,38
2005-12-12,77,32,6,91,106,37,30,38,11,25,51,31,28,133,23,38,35,89,97,47
2005-12-19,44,24,17,75,83,9,17,25,36,35,49,37,7,85,51,18,77,66,80,40
2005-12-26,21,33,8,50,114,3,18,35,55,25,78,20,44,163,29,28,57,56,84,31
2006-01-02,60,42,20,89,129,48,36,47,58,32,45,72,51,173,79,35,71,79,109,107
2006-01-09,46,56,15,92,189,100,27,31,51,28,65,55,48,102,49,30,53,72,110,67
2006-01-16,29,8,7,50,79,26,27,28,39,13,30,39,23,114,61,19,37,59,111,43
2006-01-23,41,34,15,103,163,44,15,22,64,33,64,46,53,121,99,24,53,76,120,60
2006-01-30,31,35,9,68,110,48,29,35,43,19,30,24,39,105,97,41,51,55,136,45
